review_user_id,app_id,app_version,rating,review_text,review_source,language,sentiment,complaint_category,developer_reply,thumbs_up_count,review_date,developer_reply_date,positive_review,negative_review
1488,5,1.9.51,5,senang guna untuk menyimpan duit simpanan,Google Play,English,Neutral,General,True,0,2026-07-05 21:13:00,2026-07-06 06:13:45,False,False
1983,5,1.6.7,1,why my device not support cimb click.. sebelum ni ok je boleh guna..lepas tu suruh update..tapi buka kat playstore disuruh uninstall..bila padam.. nak install balik cakap fon tak support..sebelum ni ok je.,Google Play,English,Neutral,General,True,0,2026-07-05 20:11:21,2026-07-06 06:22:42,False,False
1491,5,,5,"Easy banking anytime, anywhere. Great app!",Google Play,English,Positive,General,True,0,2026-07-05 18:28:32,2026-07-06 06:12:37,True,False
1984,5,1.9.51,1,why tf is this app 1gb size? even harimau is 300mb,Google Play,English,Neutral,General,False,0,2026-07-05 18:10:25,,False,False
1985,5,1.9.51,1,"same here. the app forced an update, once updated, stated my device is no longer compatible. installing in my new device, unable to login as the app was previously paired with the older device.",Google Play,English,Neutral,General,True,0,2026-07-05 11:21:57,2026-07-06 06:11:30,False,False
1986,5,,1,Menyusahkan..beritahu lah awal2 apps akan diblock dan tidak blh guna kalau phone tidak bersesuaian..bukan nak beritahu phone jenis mana yg xsesuai lagi digunakan..dah satu hal nk call centre bagai untuk terminate kan handphone lama..ingat semua orang senang ke nk tukar2 handphone..,Google Play,English,Neutral,General,True,0,2026-07-04 21:37:06,2026-07-06 06:09:56,False,False
1987,5,1.9.33,1,This app not function anmore...for android 10...Which low iq suggests make system like this?,Google Play,English,Neutral,General,True,0,2026-07-04 15:17:57,2026-07-04 17:35:16,False,False
1988,5,1.9.51,1,they force people to buy new phone to use their stupid app after they changed the app requirement to android 11,Google Play,English,Neutral,General,True,0,2026-07-04 14:24:34,2026-07-04 17:37:33,False,False
1989,5,,1,my nova 4e is incompatible with the latest version.... then what am i supposed to do? forcing me to buy a new phone??,Google Play,English,Neutral,General,True,0,2026-07-04 14:17:04,2026-07-04 17:40:45,False,False
1990,5,1.9.51,1,unable to open leading only in red screen 🤯,Google Play,English,Neutral,General,True,0,2026-07-04 12:46:31,2026-07-04 17:41:32,False,False
1991,5,,1,kenapa saya tidak boleh guna dan download app cimb di google play store lagi? sekarang saya tidak boleh sudah guna online banking cimb...tidak ada ka jalan penyelesaiannya...,Google Play,English,Neutral,General,True,0,2026-07-04 12:45:54,2026-07-04 17:06:40,False,False
1992,5,1.6.3,1,it cannot open because my phone have the old version android 10,Google Play,English,Neutral,General,True,0,2026-07-04 03:14:23,2026-07-06 06:14:55,False,False
1993,5,,1,knape app xbleh download..,Google Play,English,Neutral,General,True,0,2026-07-04 03:11:13,2026-07-06 06:20:29,False,False
1994,5,1.9.51,1,"I can't upgrade my cimb app due to android 10 and it don't allow me to open on other device unless I deactivate my primary. I can only deactivate after I upgrade the primary phone ,",Google Play,English,Neutral,General,True,0,2026-07-03 22:44:21,2026-07-04 17:43:57,False,False
1995,5,,1,Too many obstacle and unfriendly system for customers to use this app,Google Play,English,Neutral,General,True,0,2026-07-03 21:14:23,2026-07-04 17:44:20,False,False
1996,5,1.9.51,1,Nice now my device is not compatible with the new update and I cannot my loan nice cimb,Google Play,English,Neutral,General,True,0,2026-07-03 18:10:01,2026-07-04 17:46:26,False,False
1997,5,1.9.51,5,good,Google Play,English,Positive,General,True,0,2026-07-03 14:47:56,2026-07-04 17:47:57,True,False
1502,5,,5,Reliable banking application with smooth transactions and an easy-to-understand interface. Very useful for daily banking.,Google Play,English,Positive,General,True,0,2026-07-03 14:27:49,2026-07-04 17:48:11,True,False
1998,5,1.9.33,1,not compatible.,Google Play,English,Neutral,General,True,0,2026-07-03 14:24:27,2026-07-04 17:48:28,False,False
1999,5,1.9.33,5,👍,Google Play,English,Neutral,General,True,0,2026-07-03 14:20:19,2026-07-04 17:49:35,False,False
2000,5,1.9.51,1,kenapa p30pro tidak boleh guna android pun masi 13.. knp tak boleh guna..,Google Play,English,Neutral,General,True,0,2026-07-03 12:10:23,2026-06-24 01:36:20,False,False
2001,5,,5,good sarvis,Google Play,English,Positive,General,True,0,2026-07-03 02:56:02,2026-07-04 17:50:26,True,False
2002,5,1.9.33,5,good,Google Play,English,Positive,General,True,0,2026-07-02 23:24:11,2026-07-04 17:50:45,True,False
2003,5,1.9.51,1,"unable to open app, permission denied pop up, no screen share or accessibility permission apps on phone, latest update, android 13",Google Play,English,Neutral,General,True,0,2026-07-02 22:49:30,2026-07-04 17:51:30,False,False
1507,5,1.9.51,5,Great app because my company uses this for salary payments so it's very easy for me to deal 🥰,Google Play,English,Positive,General,True,0,2026-07-02 21:47:17,2026-07-04 17:51:51,True,False
1508,5,,5,"The CIMB Bank app is easy to use and makes everyday banking simple and convenient. Transactions are smooth, the interface is user-friendly, and it’s helpful for managing accounts, transferring funds, and paying bills securely.",Google Play,English,Positive,General,True,0,2026-07-02 21:03:54,2026-07-04 17:52:10,True,False
2004,5,,1,"I'm also facing same issue as one of them. Android old version, told us must log out from old one. But now due to old version doesn't allow me to log in anymore and I deleted the app. App cannot even be installed to that hp anymore, said not compatible. What should I do now? No way I can use mobile banking. Dead end! Please do something with this issue and advice me what to do.",Google Play,English,Negative,General,True,0,2026-07-02 20:16:46,2026-07-04 17:52:35,False,True
2005,5,,5,CIMB OCTO MY a new feature is a easy online banking instead of we must go to atm. We can manage our bank acc anytime through mobile phone. We can transfer money and it will be protected with TAC and secure login features.,Google Play,English,Positive,General,True,0,2026-07-02 19:51:00,2026-07-04 17:52:50,True,False
2006,5,,1,app sampah dari dulu report app lagg and crash on Android 12 tapi tiada tindakan langsung.. bab iklan pop up sebelum sahkan TAC memang hebat dev kayuuuu,Google Play,English,Negative,General,True,0,2026-07-02 18:13:08,2026-07-04 17:54:00,False,True
