review_user_id,app_id,app_version,rating,review_text,review_source,language,sentiment,complaint_category,developer_reply,thumbs_up_count,review_date,developer_reply_date,positive_review,negative_review
1,1,1.203.3,5,good,Google Play,English,Positive,None,False,0,2026-07-05 19:32:25,,True,False
2,1,1.203.3,5,pekerja terbaik..tqvm,Google Play,English,Neutral,None,False,0,2026-07-05 09:47:45,,False,False
3,1,,1,close app,Google Play,English,Neutral,None,False,0,2026-07-04 17:36:49,,False,False
4,1,,5,nice,Google Play,English,Neutral,None,False,0,2026-07-04 10:05:41,,False,False
5,1,1.203.3,1,"keep asking to enable location,location already enabled",Google Play,English,Neutral,None,False,0,2026-07-04 09:23:02,,False,False
6,1,,5,mmg fuction habis appsni. senang isi minyak budi tanpa tunjuk ic,Google Play,English,Neutral,None,False,0,2026-07-03 20:38:25,,False,False
7,1,1.203.3,3,sometimes top up a bit slow,Google Play,English,Negative,Performance,False,0,2026-07-03 18:46:43,,False,True
8,1,1.203.3,5,easy recommended 👌🏻,Google Play,English,Positive,None,False,0,2026-07-03 11:01:11,,True,False
9,1,1.203.3,5,"Great app! The interface is simple and easy to navigate. Fuel payments are quick, and I like being able to track my transactions and earn rewards in one place. It has made refuelling much more convenient. Highly recommended!",Google Play,English,Positive,None,False,0,2026-07-03 08:32:01,,True,False
10,1,1.202.1,5,senang untuk guna,Google Play,English,Neutral,None,False,0,2026-07-03 06:46:54,,False,False
11,1,1.136.3,1,"a ""cool down period"" security update that no one asked for except maybe your insecure ahh mom",Google Play,English,Positive,None,False,0,2026-07-02 21:47:58,,True,False
12,1,1.203.3,5,easy n fast.. great 👍👍,Google Play,English,Positive,None,False,0,2026-07-02 19:43:11,,True,False
13,1,1.203.3,5,More easy and more faster,Google Play,English,Positive,None,False,0,2026-07-02 14:30:19,,True,False
14,1,1.203.3,5,laju servis,Google Play,English,Neutral,None,False,0,2026-07-02 05:55:08,,False,False
15,1,,5,gooddddddddd,Google Play,English,Positive,None,False,0,2026-07-01 22:02:59,,True,False
16,1,1.203.2,4,Auto top up still unavailable,Google Play,English,Neutral,None,True,1,2026-07-01 20:40:28,2024-02-18 20:55:07,False,False
17,1,1.203.3,5,"easy to use, user friendly",Google Play,English,Positive,None,False,0,2026-07-01 20:11:59,,True,False
18,1,1.203.3,5,Good and Excellent 👍,Google Play,English,Positive,None,False,0,2026-07-01 09:24:20,,True,False
19,1,1.203.3,1,"Kira-kira 700,000 pemilik kenderaan persendirian di seluruh negara bakal menikmati diesel bersubsidi pada harga RM2.10 seliter menerusi pelaksanaan Budi Madani Diesel (Budi Diesel) bermula tengah malam ini. Namun di setel harga budi diesel Rm2.15 seliter. Setel ada masalah?!",Google Play,English,Neutral,None,False,0,2026-07-01 00:21:16,,False,False
20,1,1.203.3,5,Easy to used.,Google Play,English,Positive,None,False,0,2026-06-30 23:38:51,,True,False
21,1,1.203.2,5,sangat mudah..mata ganjaran pun banyak..nak redeem pun senang..,Google Play,English,Neutral,None,False,0,2026-06-30 23:15:14,,False,False
22,1,1.203.3,1,"ada ic saja x ckup masih org asing kna ada lesen bru boleh isi budi, xdk lesen org asing siak😂😂😂",Google Play,English,Neutral,None,False,0,2026-06-30 21:52:19,,False,False
23,1,1.203.2,5,easy to use and refill the petrol now!!,Google Play,English,Positive,None,False,0,2026-06-30 18:25:19,,True,False
24,1,1.203.2,1,troublesome to use for senior citizen.,Google Play,English,Neutral,None,False,0,2026-06-30 13:48:26,,False,False
25,1,,4,superb,Google Play,English,Neutral,None,False,0,2026-06-30 12:26:45,,False,False
26,1,1.203.2,5,"memudahkan,cepat dan tidak perlu beratur panjang lg lepas guna apps Setel ni.. point dpt tukar ke duit lg tu",Google Play,English,Neutral,None,False,0,2026-06-30 11:17:27,,False,False
27,1,1.203.2,1,"Why is my Mesra Points redemption restricted? I have 3 vehicles registered under my account. Sometimes I forget to switch to the correct plate number before refueling — does this cause the restriction? Please explain this simply and share the proper guidelines or compliance rules that apply. If this issue cannot be resolved, I will need to switch to Petron instead.",Google Play,English,Negative,Rewards,True,0,2026-06-30 09:49:07,2026-06-30 13:50:24,False,True
28,1,1.203.2,5,friendly,Google Play,English,Neutral,None,False,0,2026-06-30 08:49:41,,False,False
29,1,1.203.2,5,its convenient and easier to use,Google Play,English,Positive,None,False,0,2026-06-30 08:30:21,,True,False
30,1,1.170.1,5,Jom join refer dpt rm3,Google Play,English,Neutral,None,False,0,2026-06-30 08:14:48,,False,False
31,1,1.203.2,5,"Sebelum isi minyak top up di shopee, lepas tu top up di setel.. double cashback.. jimat..",Google Play,English,Neutral,None,False,0,2026-06-30 07:09:24,,False,False
32,1,1.203.2,5,bagus,Google Play,English,Neutral,None,False,0,2026-06-29 22:37:41,,False,False
33,1,1.203.0,5,"Good app right know because it's link with budi subsidi can manage and monitor by phone, got",Google Play,English,Positive,None,False,0,2026-06-29 22:08:32,,True,False
34,1,1.203.2,5,Okey,Google Play,English,Neutral,None,False,0,2026-06-29 09:00:47,,False,False
35,1,1.203.2,2,keep logging out every time opening the app. Before this the app really make refuelling easier,Google Play,English,Neutral,None,False,0,2026-06-28 23:14:12,,False,False
36,1,1.203.0,5,Jimat masa Alhamdulillah 👍🏼,Google Play,English,Neutral,None,False,0,2026-06-28 21:24:10,,False,False
37,1,1.202.1,5,wow,Google Play,English,Neutral,None,False,0,2026-06-28 21:16:52,,False,False
38,1,1.203.1,1,3rd grade app,Google Play,English,Neutral,None,False,0,2026-06-28 16:55:17,,False,False
39,1,1.203.2,5,This is great!!! Easy to use!!!!,Google Play,English,Positive,None,False,0,2026-06-28 11:18:58,,True,False
40,1,1.203.2,5,love to use setel suggested by my lovely wife. Thank you to my wife.,Google Play,English,Positive,None,False,0,2026-06-28 10:39:23,,True,False
41,1,1.203.2,5,"My Details Rating: 90% — very good app, especially for PETRONAS fuel, BUDI MADANI, and quick payments",Google Play,English,Positive,None,False,0,2026-06-27 16:05:23,,True,False
42,1,1.203.2,5,very good,Google Play,English,Positive,None,False,0,2026-06-27 13:35:38,,True,False
43,1,1.203.1,5,Super easy. Super super easy.,Google Play,English,Positive,None,False,0,2026-06-27 10:39:44,,True,False
44,1,1.203.2,1,"The app fail to check automatically my BUDI RON95 eligibility. Despite my available balance was 154L, it applies the pump price at RM3.47 instead of RM1.99. When raised the issue to Setel Call Center. They said cannot do much about it and blame user bcos not familiar enough with the app operation process. Had experience similar issue before this. Seems the bug is left unattended. Regret that my entitlement for the BUDI RON95 was taken from me becos of the app own weaknesses and failure.",Google Play,English,Negative,Performance,True,0,2026-06-27 07:28:18,2026-06-27 12:27:23,False,True
45,1,1.203.1,5,easy quick cashless transparent,Google Play,English,Positive,None,False,0,2026-06-27 06:50:47,,True,False
